Subject,Hair,Face,Eyes,Ears,Mouth,Neck,Shoulrders,Breasts,Hands,Skin,Posture,Wings,Tail,Anatomy
,,,,,,,,,,,,,,
Female,Specific colors,Emotions,Iris,Animal ears,Colors,Anatomy of the neck,Anatomy of shoulders,Breast sizes,Hand on Self - Shoulders and up,Normal colors,Basic positions,Colors (Solid),Number of tails,Upper Torso
1girl,aqua hair,anger vein,@ @,animal ear headphones,Aqua lips,collarbone,Broad shoulders,flat chest,Adjusting eyewear,Dark skin,balancing,Alternate wing color,Multiple tails,areolae
2girls,black hair,angry,amber eyes,animal ears,Black lips,long neck,Nape,gigantic breasts,hand on headwear,dark-skinned female,butterfly sitting,Black wings,No tail,armpits
3girls,blonde hair,annoyed,aqua eyes,bat ears,Blue lips,nape,Shoulder blades,huge breasts,hand on own cheek,dark-skinned male,crossed legs,Blue wings,Tail,back
4girls,blue hair,annoyed,black eyes,bear ear headphones,brown lips,neck,,large breasts,hand on own chin,dark-skinned other,crossed legs,Brown wings,,breasts
5girls,brown hair,blush,blue eyes,bear ears,gold lips,,Accessories,medium breasts,Hand on own ear,Pale skin,crossed legs,Green wings,Supernatural tails,collarbone
6+girls,dark blue hair,blush stickers,brown eyes,cat ear headphones,Green lips,Actions / Posture,Epaulettes,small breasts,hand on own face,Sun tattoo,fetal position,Grey wings,Demon tail,covered nipples
multiple girls,dark green hair,bored,dashed eyes,cat ears,Grey lips,adjusting collar,Jacket on shoulders,,Hand on own forehead,Tan,figure four sitting,Pink wings,Dragon tail,glands of montgomery
female,green hair,clenched teeth,green eyes,cow ears,lipstick,arm around neck,Pauldrons,Descriptions of breasts,Hand on own head,Tanlines,hugging own legs,Red wings,Ghost tail,heart
woman,grey hair,closed eyes,grey eyes,deer ears,multicolored lips,arms around neck,Puffy sleeves,asymmetrical breasts,hands on headwear,Very dark skin,indian style,White wings,Pikachu tail,inverted nipples
old woman,light blue hair,confused,heterochromia,dog ears,Orange lips,hand on another's neck,Shirt on shoulders,bouncing breasts,hands on own cheek,,kneeling,Yellow wings,Snake head tail,large areolae
tomboy,light brown hair,crazy,mismatched irises,extra ears,Pink lips,hand on own neck,Shoulder pads,breasts apart,hands on own chin,Abnormal colors,legs apart,,,long neck
reverse trap,light green hair,depressed,multicolored eyes,fake animal ears,Purple lips,kissing neck,,floating breasts,Hands on own ear,Black skin,lotus position,Color Variations,Elemental tails,lungs
genderswap (otf),light purple hair,despair,orange eyes,ferret ears,Red lips,neck biting,Exposed shoulders,hanging breasts,hands on own face,Blue skin,lying,Gradient wings,Crystal tail,neck
,orange hair,determined,Pac-man eyes,floppy ears,Shiny lips,necking,Bare shoulders,perky breasts,Hands on own forehead,colored skin,on one knee,Multicolored wings,Energy tail,nipples
Male,pink hair,disappointed,pink eyes,fox ears,silver lips,,Off shoulder,pointy breasts,Hands on own head,Green skin,seiza,Rainbow wings,Fiery tail,no nipples
1boy,purple hair,disdain,purple eyes,goat ears,white lips,,Off-shoulder bikini,sagging breasts,head rest,Grey skin,sitting,Transparent wings,Ice tail,pectorals
2boys,red hair,disgust,red eyes,hair ears,Yellow lips,,Off-shoulder coat,unaligned breasts,heads rest,Orange skin,sitting on lap,,Liquid tail,puffy nipples
3boys,white hair,drunk,ringed eyes,horse ears,,,Off-shoulder dress,veiny breasts,,Pink skin,sitting on person,Types,Plant tail,ribs
4boys,,embarrassed,white eyes,kemonomimi mode,Actions/Positions,,Off-shoulder jacket,,Hands on Self - upper body,Purple skin,standing,Angel wings,,shoulders
5boys,Multiple colors,envy,yellow eyes,lion ears,;p,,Off-shoulder leotard,Clothes for breasts,hand on own arm,Red skin,standing bent_over,Bat wings,Animal Tails,small nipples
6+boys,colored inner hair,excited,,monkey ears,;q,,Off-shoulder one-piece swimsuit,bandeau,hand on own chest,White skin,standing leaning_forward,Bird wings,Bear tail,
multiple boys,colored tips,exhausted,Pupils,mouse ears,:p,,Off-shoulder shirt,belt bra,hand on own elbow,Yellow skin,standing on one leg,Demon wings,Cat tail,Lower Torso
male focus,gradient hair,expressionless,aqua pupils,panda ears,:q,,Off-shoulder sweater,bikini,hand on own neck,,straddling,Dragon wings,Cow tail,abs
old man,multicolored hair,facepalm,blue pupils,pig ears,Biting own lip,,Single-shoulder dress,bikini bottom only,hand on own shoulder,Special skin,thigh straddling,Drawn wings,Crocodilian tail,animal penis
girly boy,print hair,flustered,brown pupils,pikachu ears,Closed mouth,,Single-shoulder shirt,bra,hand on own stomach,body blush,upright straddle,Fairy wings,Deer tail,anus
bishounen,rainbow hair,frown,constricted pupils,rabbit ear headphones,licking,,Single-shoulder sweater,breast curtain,hands on own arm,shiny skin,wariza,Feathered wings,Dog tail,ass
otoko no ko,roots,frustrated,cross-shaped pupils,rabbit ears,Licking lips,,Sleeveless coat,breastless clothes,hands on own chest,wrinkled skin,yokozuwari,Skeletal wings,Ermine tail,belly
genderswap (otm),split-color hair,full-face blush,diamond-shaped pupils,raccoon ears,Open mouth,,Sleeveless dress,bustier,hands on own elbow,,,,Fish tail,bulge
,spotted hair,furrowed brow,dilated pupils,sheep ears,Parted lips,,Sleeveless jacket,center opening,hands on own neck,,Moving,Insect Wings,Fox tail,cervix
No binary,streaked hair,gloom (expression),extra pupils,squirrel ears,Puckered lips,,Sleeveless shirt,chest binder,hands on own shoulder,,balancing,Butterfly wings,Horse tail,cleft of venus
1other,two-tone hair,grimace,flower-shaped pupils,tiger ears,Pursed lips,,Sleeveless sweater,Cinderella bust,hands on own stomach,,crawling,Dragonfly wings,Leopard tail,clitoris
2others,,guilt,green pupils,wolf ears,Spread lips,,Strap slip,cleavage cutout,,,idle animation,Insect wings,Lion tail,cloaca
3others,Length and volume,happy,grey pupils,,tongue out,,Strapless bikini,corset,Hands on breasts,,jumping,Ladybug wings,Monkey tail,covered navel
4others,absurdly long hair,kubrick stare,heart-shaped pupils,Elven ears,tongue stuck frozen,,Strapless bra,cupless bikini,arm between breasts,,running,Moth wings,Mouse tail,covered penis
5others,alternate hair color,lonely,horizontal pupils,pointy ears,,,Strapless dress,cupless bra,breast hold,,walk cycle,,Pig tail,covered testicles
6+others,bald,nervous,mismatched pupils,long pointy ears,Aspect,,Strapless leotard,framed breasts,breast lift,,walking,Elemental wings,Rabbit tail,dimples of venus
multiple others,bald girl,nose blush,no pupils,,Dry lips,,Strapless one-piece swimsuit,hand in bra,breast poke,,wallwalking,Crystal wings,Scorpion tail,disembodied penis
other focus,big hair,nosebleed,orange pupils,Objects,Lip balm,,Strapless shirt,nipple cutout,breast suppress,,,Energy wings,Sheep tail,dog penis
androgynous,long hair,one eye closed,pink pupils,ear piercing,Lip piercing,,Tube top,nippleless clothes,breasts squeezed together,,Whole body,Fiery wings,Snake tail,dolphin penis
ambiguous gender,medium hair,open mouth,purple pupils,ear protection,Lips print,,,no bra,flat chest grab,,all fours,Ice wings,Squirrel tail,erection
crossdressing,short hair,pain,red pupils,earrings,long tongue,,Shoulders with something else,nursing bra,grabbing another's breast,,battoujutsu stance,Liquid wings,Tadpole tail,erection under clothes
gender transitioning,translucent hair,panicking,slit pupils,headphones,Pouty lips,,Animal on shoulder,panties on breasts,grabbing own breast,,bear position,Plant wings,Tiger tail,extra penises
,very long hair,parted lips,solid circle pupils,object behind ear,Puffy lips,,Arm around neck,plunging neckline,groping,,chest stand,,Wolf tail,fat mons
Group,very short hair,pensive,star-shaped pupils,robot ears,Thick lips,,Arm on another's shoulder,rei no himo,guided breast grab,,chest stand handstand,Artificial Wings,,flaccid
everyone,,pout,symbol-shaped pupils,single earring,tongue piercing,,Bird on shoulder,sarashi,hand in bra,,cowering,Alternate wings,Tails and objects,foreskin
absolutely everyone,Hair texture,raised eyebrow,white pupils,,,,Carrying over shoulder,shelf bra,nipple tweak,,crucifixion,Fake wings,Tail bell,gigantic penis
dual persona,curly hair,rape face,x-shaped pupils,Actions,,,Cat on shoulder,taut shirt,,,faceplant,Mechanical wings,Tail bow,groin
multiple persona,drill hair,rolling eyes,yellow pupils,covering own ears,,,Creature on shoulder,underbust,Hands on lower body,,fighting stance,Wing Tattoo,Tail ornament,hip dips
clone,hair flaps,sad,,ear biting,,,Dog on shoulder,,hand between legs,,full scorpion,,Tail piercing,hips
crossover,messy hair,scared,Sclera,ear wiggle,,,Fireman's carry,Scenes - breast sizes,hand on another's ass,,handstand,Number of wings,Tail ribbon,horse penis
look-alike,pointy hair,scowl,black sclera,ears through headwear,,,Hair over shoulder,a flat chest is a status symbol,hand on another's crotch,,headstand,Multiple wings,Tail ring,huge penis
,ringlets,serious,blank eyes,ears under headwear,,,Hand on shoulder,breast awe,hand on another's hip,,prostration,No wings,,intestines
SD Porpotions,spiked hair,sigh,bloodshot eyes,grabbing another's ear,,,Hands on shoulder,breast conscious,hand on another's knee,,quadfold,Single head wing,Tails and sex,knotted penis
chibi,straight hair,sleepy,blue sclera,hand on own ear,,,Hands on shoulders,breast envy,hand on another's leg,,reclining,Single wing,Anal tail,labia
deformed,tri drills,sulking,green sclera,holding ears,,,Over shoulder,breast expansion,hand on another's thigh,,ruppelbend,Wings,Butt plug tail,large penis
big head,twin drills,surprised,mismatched sclera,licking ear,,,Piggyback,breast padding,hand on another's waist,,scorpion pose,,Penis tail,liver
chibi inset,wavy hair,tears,no sclera,,,,Pokemon on shoulder,breast punch,hand on own ass,,squatting,Size,Tail masturbation,mons pubis
chibi only,,thinking,orange sclera,,,,Rabbit on shoulder,breast reduction,hand on own crotch,,stretching,Large head wings,Tail rape,multiple penises
mini person,Short Style,v-shaped eyebrows,red sclera,,,,Shoulder bag,breast size switch,hand on own hip,,superhero landing,Large wings,Tailjob,narrow waist
,bob cut,wince,yellow sclera,,,,Shoulder carry,bust chart,hand on own knee,,top-down bottom-up,Mini wings,,navel
Age stages,bowl cut,worried,,,,,Shoulder massage,bust measuring,hand on own leg,,triplefold,,Misc,no pussy
baby,buzz cut,,Around the eyes,,,,Standing on shoulder,convenient breasts,hand on own thigh,,upside-down,Location (Body),Biting another's tail,no testicles
toddler,chonmage,Sexual,aegyo sal,,,,Sword over shoulder,flat envy,hands on another's crotch,,yoga,Ankle wings,Biting own tail,obliques
child,crew cut,afterglow,bags under eyes,,,,Towel around neck,flying button,hands on another's hips,,,Detached wings,Fake tail,penis
petite,flattop,ahegao,bruised eye,,,,Weapon over shoulder,inconvenient breasts,hands on another's knees,,On self,Hair wings,Heart tail,perineum
teen,inverted bob,aroused,flaming eyes,,,,,looking at breasts,hands on another's leg,,On back,Harpy,Heart tail duo,phimosis
teenager,okappa,fucked silly,glowing eye,,,,,oversized breast cup,hands on another's thighs,,On side,Head wings,Holding another's tail,pig penis
young,pixie cut,in heat,glowing eyes,,,,,slapping breasts,hands on another's waist,,On stomach,Leg wings,Holding own tail,prostate
grown up,undercut,naughty face,,,,,,slapping with breasts,hands on ass,,,Low wings,Holding with tail,pseudopenis
adult,,seductive smile,Animal or inhuman eyes,,,,,weighing breasts,hands on own crotch,,On object,Wing ears,Intertwined tails,pubic hair
middle-age,Medium style,torogao,button eyes,,,,,,hands on own hips,,Against bed,Winged arms,Mutual tail biting,pussy
old,flipped hair,,cephalopod eyes,,,,,Visible parts of breasts,hands on own knees,,Against chair,Wrist wings,Panties around tail,small penis
Elderly,wolf cut,Smile,compound eyes,,,,,areola slip,hands on own legs,,Against desk,,Prehensile tail,snake penis
,,crazy smile,horizontal pupils,,,,,areolae,hands on own thighs,,broom riding,Location (Clothing),Spiked tail,spiked penis
Age modifiers,Long style,evil grin,lens eye,,,,,backboob,,,broom surfing,Winged bag,Stiff tail,stomach
aged up,cornrows,evil smile,pixel eyes,,,,,breasts,Hands on members,,In umbrella,Winged footwear,Tail between legs,stomach_(organ)
aged down,dreadlocks,fingersmile,,,,,,bursting breasts,hand on another's foot,,On bed,Winged hairband,Tail censor,testicles
age progression,hime cut,forced smile,Emotion eyes,,,,,cleavage,hand on another's hand,,On chair,Winged hat,Tail fondling,uterus
younger,mullet,glasgow smile,crazy eyes,,,,,covered nipples,hand on own foot,,On couch,Winged helmet,Tail grab,veiny penis
youngest,,grin,dashed eyes,,,,,dark areolae,hands on feet,,On desk,Wings through clothes,Tail pull,wide hips
older,Tied hair,light smile,empty eyes,,,,,dark nipples,hands on own feet,,On floor,,Tail raised,
oldest,bow-shaped hair,sad smile,heart-shaped eyes,,,,,gaping nipples,holding hands,,On flower,Actions,Tail stand,Appendages
Elder,braid,seductive smile,jitome,,,,,glands of montgomery,,,On grass,Bowed wings,Tail wagging,bad feet
,braided bangs,Smile,Nonowa,,,,,huge nipples,Hands somewhere else,,On ground,Expressive Wings,Tail wrap,barefoot
Relations,braided bun,stifled laugh,sanpaku,,,,,inverted nipples,hand in pocket,,On motorcycle,Flapping,,biceps
couple,cone hair bun,,solid circle eyes,,,,,large areolae,hands in pockets,,On roof,Grabbing another's wing,,dirty feet
friends,cone hair bun,Smug,tareme,,,,,light areolae,,,On table,Grabbing own wing,,doll joints
pet,crown braid,doyagao,tsurime,,,,,long nipples,Hand on another person - Shoulders and up,,On umbrella,Hand on another's wing,,feet
,double bun,smirk,,,,,,nipple hair,adjusting another's hair,,On weapon,Heart wings,,groin tendon
Family,doughnut hair bun,smug,Series specific eyes,,,,,nipple indents,cheek pinch,,Standing on bed,Wing biting,,hands
father and son,flower-shaped hair,troll face,Byakugan,,,,,nipple slip,cheek poking,,Standing on chair,Wing censor,,kneepits
father and daughter,folded ponytail,,Geass,,,,,nipples,cheek squash,,Standing on desk,Wing hold,,knees
mother and son,french braid,Surprised / Scared / Sad,Mangekyou Sharingan,,,,,no nipples,hand on another's cheek,,Standing on roof,Wing hug,,legs
mother and daughter,front braid,^^^,Rinnegan,,,,,puffy nipples,hand on another's chin,,Standing on vehicle,Wing umbrella,,long legs
siblings,front ponytail,color drain,Sharingan,,,,,sideboob,hand on another's ea,,Umbrella riding,Wingjob,,ninja toes
brothers,hair bun,depressed,,,,,,small nipples,hand on another's face,,,,,palms
sisters,hair rings,despair,Other,,,,,underboob,hand on another's head,,On another character,Misc. Attributes,,robot joints
brother and sister,half up braid,gloom (expression),eye reflection,,,,,,hand on another's neck,,On animal,Asymmetrical wings,,slim legs
half-siblings,half up half down braid,horrified,text in eyes,,,,,Whole breasts visible,headpat,,On head,Bloody wings,,soles
twins,half updo,screaming,,,,,,breast slip,strangling,,On lap,Glowing wings,,tail
triplets,heart hair bun,sobbing,Number of eyes,,,,,breastless clothes,,,On person,Torn wings,,tentacles
quadruplets,high ponytail,traumatized,extra eyes,,,,,breasts out,Hand on another person - Below Shoulders,,Piggyback,,,thick arms
sextuplets,low twin braids,turn pale,missing eye,,,,,impossible shirt,arm around shoulder,,Shoulder carry,Accessories,,thick thighs
septuplets,low twintails,wavy mouth,no eyes,,,,,one breast out,hand on another's arm,,,Bow on wing,,thighs
grandmother and granddaughter,low-braided long hair,,one-eyed,,,,,,hand on another's back,,Rest points,Pierced wings,,toes
grandmother and grandson,low-tied long hair,Emotes,third eye,,,,,Penis on breasts,hand on another's chest,,arm support,Wing piercing,,wings
grandfather and granddaughter,mizura,;),,,,,,autopaizuri,hand on another's shoulder,,head rest,Wing ribbon,,
grandfather and grandson,multi-tied hair,;<,Emotions and expressions,,,,,cooperative naizuri,hand on another's stomach,,,Wing-shaped bow,,
aunt and niece,multiple braids,;3,3 3,,,,,cooperative paizuri,patting back,,Head posture,,,
aunt and nephew,nihongami,;d,6 9,,,,,handsfree paizuri,,,head down,,,
uncle and niece,one side up,;o,. .,,,,,naizuri,Gestures with two hands,,head tilt,,,
uncle and nephew,ponytail,;p,@ @,,,,,nipple penetration,air quotes,,,,,
cousins,quad braids,;q,^ ^,,,,,paizuri (penis between breasts),carry me,,Torso inclination,,,
step-siblings,quad tails,:/,^o^,,,,,paizuri on lap,clenched hands,,arched back,,,
step-sisters,quin tails,:<,<|>_<|>,,,,,paizuri over clothes,crossed wrists,,bent back,,,
step-brother_and_step-sister,short ponytail,:>,<o> <o>,,,,,paizuri under clothes,cupping hands,,bent over,,,
step-mother_and_step-son,short twintails,:>=,= =,,,,,penis to breast,double finger gun,,leaning back,,,
ancestor and descendant,side braid,:|,=+ +,,,,,penis under breasts,double v,,leaning forward,,,
,side ponytail,:3,> <,,,,,perpendicular paizuri,fidgeting,,slouching,,,
,single braid,:c,|_|,,,,,reverse paizuri,finger counting,,sway back,,,
,single hair bun,:d,0 0,,,,,straddling paizuri,finger frame,,twisted torso,,,
,single hair ring,:i [ : ã‚¨ ],DX,,,,,,fist bump,,,,,
,split ponytail,:o,O o,,,,,Head on breasts,fist in hand,,Arms,,,
,star-shaped hair,:p,o o,,,,,breast pillow,groping motion,,\o/,,,
,topknot,:q,X3,,,,,breast smother,hand glasses,,arm at side,,,
,tri braids,:t,XD,,,,,breasts on head,heart arms,,arm behind back,,,
,tri tails,:x,,,,,,face between breasts,heart hands,,arm behind head,,,
,triple bun,._.,One or two eyes closed,,,,,face to breasts,heart hands duo,,arm up,,,
,twin braids,@_@,;<,,,,,face to pecs,heart hands trio,,arms at sides,,,
,twintails,\(^o^)/,;>,,,,,head between breasts,high five,,arms behind back,,,
,twisted hair,^_^,;p,,,,,,horns pose,,arms behind head,,,
,two side up,^o^,blinking,,,,,Mouth on breasts,noogie,,arms up,,,
,uneven twintails,^q^,closed eyes,,,,,breast biting,own hands clasped,,outstretched arm,,,
,,<|>_<|>,one eye closed,,,,,breast sucking,palm-fist greeting,,outstretched arms,,,
,Tall hair,<o>_<o>,wince,,,,,breastfeeding,palm-fist tap,,spread arms,,,
,afro,=_=,,,,,,licking nipple,penetration gesture,,victory pose,,,
,beehive hairdo,=^=,Accessories,,,,,mutual breast sucking,pinky swear,,,,,
,crested hair,=+_-,bandage over one eye,,,,,nipple biting,rabbit pose,,More specific arm position,,,
,huge afro,=+_+,blindfold,,,,,nursing handjob,shadow puppet,,a-pose,,,
,pompadour,=v=,colored eyelashes,,,,,self breast sucking,steepled fingers,,airplane arms,,,
,quiff,>_@,covering own eyes,,,,,,tsuki ni kawatte oshioki yo,,crossed arms,,,
,shouten pegasus mix mori,>_<,eyelashes,,,,,Hands on breasts,x arms,,flexing,,,
,,>:(,eyeliner,,,,,arm between breasts,x fingers,,praise the sun,,,
,Front of the head,>:),eyepatch,,,,,breast hold,,,reaching,,,
,arched bangs,>3<,eyes visible through hair,,,,,breast lift,One open finger,,shrugging,,,
,asymmetrical bangs,>o<,eyeshadow,,,,,breast poke,akanbe,,t-pose,,,
,asymmetrical sidelocks,|_|,fake eyelashes,,,,,breast press,beckoning,,v arms,,,
,bangs,0_0,glasses,,,,,breast pull,index finger raised,,w arms,,,
,bangs pinned back,0w0,hair over eyes,,,,,breast punch,kamina pose,,,,,
,blunt bangs,3:,hair over one eye,,,,,breast suppress,middle finger,,Hand position,,,
,choppy bangs,c:,hat over eyes,,,,,breasts squeezed together,pinky out,,stroking own chin,,,
,crossed bangs,d:,makeup,,,,,flat chest grab,pointing,,outstretched hand,,,
,curtained hair,diamond mouth,mascara,,,,,grabbing another's breast,pointing at self,,,,,
,diagonal bangs,heart-shaped eyes,,,,,,groping,pointing at viewer,,Hands touching,,,
,drill sidelocks,o_o,Looking,,,,,guided breast grab,pointing down,,interlocked fingers,,,
,dyed bangs,o3o,breast awe,,,,,hand in bra,pointing forward,,own hands clasped,,,
,fanged bangs,solid circle eyes,eye contact,,,,,nipple flick,pointing up,,own hands together,,,
,forehead,uwu,food awe,,,,,nipple press,saturday night fever,,star hands,,,
,hair between eyes,x3,looking afar,,,,,nipple pull,shushing,,,,,
,hair intakes,x3,looking around,,,,,nipple push,slit throat (gesture),,Hips,,,
,hair over eyes,xd,looking at another,,,,,nipple rub,thumbs down,,contrapposto,,,
,hair over one eye,xd [ XD ],looking at breasts,,,,,nipple tweak,thumbs up,,sway back,,,
,long bangs,,looking at crotch,,,,,slapping breasts,twirling hair,,,,,
,low-tied sidelocks,Drawing styles,looking at hand,,,,,,,,Leg location,,,
,parted bangs,chestnut mouth,looking at hands,,,,,Feet on breasts,Two open fingers,,crossed ankles,,,
,short bangs,constricted pupils,looking at mirror,,,,,foot on breast,\n/,,folded,,,
,sidelocks,cross-eyed,looking at penis,,,,,,crossed fingers,,knees to chest,,,
,sidelocks tied back,dot mouth,looking at phone,,,,,Toys on breasts,finger gun,,leg lift,,,
,single hair intake,dot nose,looking at pussy,,,,,areola piercing,finger heart,,leg up,,,
,single sidelock,mouth drool,looking at self,,,,,nipple bar,fox shadow puppet,,legs over head,,,
,swept bangs,no mouth,looking at viewer,,,,,nipple bells,inward v,,legs up,,,
,widow's peak,no nose,looking away,,,,,nipple chain,shaka sign,,outstretched leg,,,
,wispy bangs,rectangular mouth,looking back,,,,,nipple clamps,two-finger salute,,pigeon pose,,,
,,sideways mouth,looking down,,,,,nipple leash,,,split,,,
,Top of the head,split mouth,looking outside,,,,,nipple lock,Three open fingers,,spread legs,,,
,ahoge,wavy mouth,looking over eyewear,,,,,nipple piercing,\m/,,standing split,,,
,antenna hair,wide-eyed,looking through own legs,,,,,nipple plug,middle w,,watson cross,,,
,comb over,Yurie mouth,looking to the side,,,,,nipple ribbon,money gesture,,,,,
,hair pulled back,,looking up,,,,,nipple rings,ok sign,,Knee location,,,
,hair slicked back,Misc,muscle awe,,,,,nipple sleeves,,,knee up,,,
,heart ahoge,awesome face,penis awe,,,,,nipple stretcher,Whole open hand,,knees apart feet together,,,
,heart antenna hair,expression chart,staring,,,,,nipple tag,\||/,,knees together feet apart,,,
,huge ahoge,expressions,,,,,,nipple torture,claw pose,,knees up,,,
,mohawk,face of the people who sank all their money into the fx,Actions / State,,,,,tied nipples,facepalm,,,,,
,oseledets,foodgasm,akanbe,,,,,vibrator on nipple,hand mouth,,Foot position,,,
,,henohenomoheji,artificial eye,,,,,,ohikaenasutte,,dorsiflexion,,,
,Back of the head,nonowa,asymmetrical eyes,,,,,Docking,open hand,,pigeon-toed,,,
,lone nape hair,portrait,big eyes,,,,,asymmetrical docking,reaching,,plantar flexion,,,
,,profile,blind,,,,,nipple-to-nipple,salute,,tiptoe kiss,,,
,Head hair over the body,smiley face,cross-eyed,,,,,symmetrical docking,spread fingers,,tiptoes,,,
,hair bikini,troll face,drawn on eyes,,,,,,stop (gesture),,,,,
,hair censor,uso da,eye beam,,,,,Misc,straight-arm salute,,Posture of at least two characters,,,
,hair in own mouth,,eye poke,,,,,alternate breast size,vulcan salute,,ass-to-ass,,,
,hair over breasts,,eye pop,,,,,arm between breasts,waving,,back-to-back,,,
,hair over crotch,,eye trail,,,,,between breasts,,,belly-to-belly,,,
,hair over one breast,,eyeball,,,,,breast bondage,Whole closed hand,,cheek-to-breast,,,
,hair over shoulder,,glass eye,,,,,breast crush,clenched hand,,cheek-to-cheek,,,
,hair scarf,,googly eyes,,,,,breast crush,curled fingers,,eye contact,,,
,,,half-closed eyes,,,,,breast implants,dojikko pose,,face-to-face,,,
,Facial hair,,lazy eye,,,,,breast milk,fig sign,,forehead-to-forehead,,,
,Beard,,mechanical eye,,,,,breast mousepad,paw pose,,head on chest,,,
,Beard over mouth,,partially blind,,,,,breast pump,power fist,,heads together,,,
,Beard stubble,,persona eyes,,,,,breast punch,raised fist,,holding hands,,,
,Braided beard,,rolling eyes,,,,,breast rest,,,leg lock,,,
,Chinstrap beard,,shading eyes,,,,,breasts on glass,Variable number of open fingers of one hand,,locked arms,,,
,Connected beard,,squinting,,,,,breasts on head,beckoning,,nipple-to-nipple,,,
,Facial hair,,staring,,,,,breasts on table,cunnilingus gesture,,noses touching,,,
,Fu manchu,,uneven eyes,,,,,bubble tea challenge,fellatio gesture,,over the knee,,,
,Full beard,,unusually open eyes,,,,,bust cup,handjob gesture,,shoulder-to-shoulder,,,
,Goatee,,upturned eyes,,,,,card between breasts,hat tip,,tail lock,,,
,Goatee stubble,,wall-eyed,,,,,carried breast rest,oral invitation,,,,,
,Long beard,,wide-eyed,,,,,chocolate on breasts,oral simulation,,Posture of at least three characters,,,
,Long mustache,,wince,,,,,covering breasts,shocker (gesture),,circle formation,,,
,Long sideburns,,,,,,,cum on breasts,stroking own chin,,group hug,,,
,Mismatched beard,,,,,,,extra breasts,v,,,,,
,Mustache,,,,,,,food on breasts,v over eye,,Hugging,,,
,Mustache stubble,,,,,,,forced lactation,v over mouth,,arm hug,,,
,Mutton chops,,,,,,,head between breasts,w,,hug,,,
,Neckbeard,,,,,,,headphones on breasts,,,hug from behind,,,
,Pencil mustache,,,,,,,lactating into container,Other gestures,,hugging object,,,
,Sideburns,,,,,,,lactation,air guitar,,hugging own legs,,,
,Sideburns stubble,,,,,,,lactation through clothes,bowing,,hugging tail,,,
,Solid beard,,,,,,,male with breasts,curtsey,,waist hug,,,
,Soul patch,,,,,,,milking machine,distress hand signal,,wing hug,,,
,Sparse stubble,,,,,,,mole on breast,heart tail,,,,,
,Streaked beard,,,,,,,necktie between breasts,heart tail duo,,Carrying someone,,,
,Stubble,,,,,,,nipple injection,kuji-in,,baby carry,,,
,Thick beard,,,,,,,object on breast,orchid fingers,,carried breast rest,,,
,Thick mustache,,,,,,,object on pectorals,shrugging,,carrying,,,
,Tied beard,,,,,,,oppai challenge,toe-point,,carrying over shoulder,,,
,Two-tone beard,,,,,,,person between breasts,victory pose,,carrying under arm,,,
,Very long beard,,,,,,,Powerful Breasts,,,child carry,,,
,,,,,,,,projectile lactation,,,fireman's carry,,,
,Misc,,,,,,,slapping with breasts,,,piggyback,,,
,alternate hairstyle,,,,,,,Tawawa challenge,,,princess carry,,,
,asymmetrical hair,,,,,,,tied breast,,,shoulder carry,,,
,bindi,,,,,,,,,,sitting on shoulder,,,
,blunt ends,,,,,,,,,,standing on shoulder,,,
,forehead mark,,,,,,,,,,,,,
,hair down,,,,,,,,,,Poses,,,
,hair up,,,,,,,,,,animal pose,,,
,sidecut,,,,,,,,,,archer pose,,,
,,,,,,,,,,,body bridge,,,
,,,,,,,,,,,bras d'honneur,,,
,,,,,,,,,,,claw pose,,,
,,,,,,,,,,,contrapposto,,,
,,,,,,,,,,,dojikko pose,,,
,,,,,,,,,,,ghost pose,,,
,,,,,,,,,,,horns pose,,,
,,,,,,,,,,,inugami-ke no ichizoku pose,,,
,,,,,,,,,,,letter pose,,,
,,,,,,,,,,,ojou-sama pose,,,
,,,,,,,,,,,paw pose,,,
,,,,,,,,,,,rabbit pose,,,
,,,,,,,,,,,saboten pose,,,
,,,,,,,,,,,symmetrical hand pose,,,
,,,,,,,,,,,victory pose,,,
,,,,,,,,,,,villain pose,,,
,,,,,,,,,,,zombie pose,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,Signature poses,,,
,,,,,,,,,,,Gendou pose,,,
,,,,,,,,,,,Kongou pose,,,
,,,,,,,,,,,Kujo Jotaro's pose,,,
,,,,,,,,,,,Kujou Karen pose,,,
,,,,,,,,,,,JoJo pose,,,
,,,,,,,,,,,Dio Brando's pose,,,
,,,,,,,,,,,Giorno Giovanna's pose,,,
,,,,,,,,,,,Jonathan Joestar's pose,,,